Image Name,ID,Label,Ear Side,x,y,w,h
001/01/01_0/001_01_01_010_00.png,1,0,left,311,203,40,66
001/01/04_1/001_01_01_041_00.png,1,0,left,249,225,34,57
001/01/05_0/001_01_01_050_00.png,1,0,left,242,206,32,54
001/01/08_0/001_01_01_080_00.png,1,0,right,367,166,39,65
001/01/09_0/001_01_01_090_00.png,1,0,right,249,202,36,60
001/01/11_0/001_01_01_110_00.png,1,0,right,268,201,36,60
001/01/12_0/001_01_01_120_00.png,1,0,right,316,200,34,57
001/01/13_0/001_01_01_130_00.png,1,0,right,414,198,36,60
001/01/14_0/001_01_01_140_00.png,1,0,right,398,177,36,59
001/01/19_0/001_01_01_190_00.png,1,0,left,274,172,38,64
001/01/20_0/001_01_01_200_00.png,1,0,left,272,199,34,57
001/01/24_0/001_01_01_240_00.png,1,0,left,301,232,40,67
001/01/01_0/001_01_01_010_01.png,1,0,left,311,203,39,66
001/01/04_1/001_01_01_041_01.png,1,0,left,250,225,34,56
001/01/05_0/001_01_01_050_01.png,1,0,left,242,204,33,56
001/01/08_0/001_01_01_080_01.png,1,0,right,368,163,40,67
001/01/09_0/001_01_01_090_01.png,1,0,right,252,203,34,57
001/01/12_0/001_01_01_120_01.png,1,0,right,319,200,32,54
001/01/13_0/001_01_01_130_01.png,1,0,right,414,195,39,64
001/01/14_0/001_01_01_140_01.png,1,0,right,399,174,36,60
001/01/19_0/001_01_01_190_01.png,1,0,left,275,175,36,60
001/01/20_0/001_01_01_200_01.png,1,0,left,271,199,34,57
001/01/24_0/001_01_01_240_01.png,1,0,left,301,232,40,67
001/01/01_0/001_01_01_010_02.png,1,0,left,311,205,38,63
001/01/04_1/001_01_01_041_02.png,1,0,left,250,226,33,55
001/01/05_0/001_01_01_050_02.png,1,0,left,242,204,33,56
001/01/08_0/001_01_01_080_02.png,1,0,right,370,165,38,64
001/01/09_0/001_01_01_090_02.png,1,0,right,254,204,32,53
001/01/11_0/001_01_01_110_02.png,1,0,right,267,202,34,57
001/01/13_0/001_01_01_130_02.png,1,0,right,416,197,36,60
001/01/14_0/001_01_01_140_02.png,1,0,right,398,172,38,63
001/01/19_0/001_01_01_190_02.png,1,0,left,275,174,37,61
001/01/20_0/001_01_01_200_02.png,1,0,left,271,200,34,57
001/01/24_0/001_01_01_240_02.png,1,0,left,301,232,40,67
001/01/01_0/001_01_01_010_03.png,1,0,left,311,205,38,64
001/01/04_1/001_01_01_041_03.png,1,0,left,249,225,34,57
001/01/05_0/001_01_01_050_03.png,1,0,left,242,204,33,56
001/01/08_0/001_01_01_080_03.png,1,0,right,372,166,36,60
001/01/11_0/001_01_01_110_03.png,1,0,right,268,203,34,57
001/01/12_0/001_01_01_120_03.png,1,0,right,316,202,32,54
001/01/13_0/001_01_01_130_03.png,1,0,right,416,197,36,60
001/01/14_0/001_01_01_140_03.png,1,0,right,399,174,36,61
001/01/19_0/001_01_01_190_03.png,1,0,left,275,175,36,60
001/01/20_0/001_01_01_200_03.png,1,0,left,271,199,35,58
001/01/24_0/001_01_01_240_03.png,1,0,left,300,232,40,67
001/01/01_0/001_01_01_010_04.png,1,0,left,311,204,39,65
001/01/04_1/001_01_01_041_04.png,1,0,left,249,225,34,56
001/01/05_0/001_01_01_050_04.png,1,0,left,242,204,33,56
001/01/08_0/001_01_01_080_04.png,1,0,right,367,168,36,60
001/01/09_0/001_01_01_090_04.png,1,0,right,249,204,33,55
001/01/11_0/001_01_01_110_04.png,1,0,right,268,202,34,57
001/01/12_0/001_01_01_120_04.png,1,0,right,315,201,34,56
001/01/13_0/001_01_01_130_04.png,1,0,right,417,199,34,57
001/01/14_0/001_01_01_140_04.png,1,0,right,399,174,36,60
001/01/19_0/001_01_01_190_04.png,1,0,left,274,173,37,62
001/01/20_0/001_01_01_200_04.png,1,0,left,271,199,35,58
001/01/24_0/001_01_01_240_04.png,1,0,left,300,232,40,67
001/01/01_0/001_01_01_010_05.png,1,0,left,311,206,38,64
001/01/04_1/001_01_01_041_05.png,1,0,left,249,226,33,55
001/01/05_0/001_01_01_050_05.png,1,0,left,242,205,33,55
001/01/08_0/001_01_01_080_05.png,1,0,right,365,166,39,64
001/01/09_0/001_01_01_090_05.png,1,0,right,248,204,34,56
001/01/11_0/001_01_01_110_05.png,1,0,right,268,201,35,59
001/01/12_0/001_01_01_120_05.png,1,0,right,315,201,34,56
001/01/13_0/001_01_01_130_05.png,1,0,right,416,198,34,58
001/01/14_0/001_01_01_140_05.png,1,0,right,399,175,35,59
001/01/19_0/001_01_01_190_05.png,1,0,left,274,173,38,63
001/01/20_0/001_01_01_200_05.png,1,0,left,271,200,34,57
001/01/24_0/001_01_01_240_05.png,1,0,left,301,235,38,64
001/01/01_0/001_01_01_010_06.png,1,0,left,312,208,36,60
001/01/04_1/001_01_01_041_06.png,1,0,left,249,224,34,57
001/01/05_0/001_01_01_050_06.png,1,0,left,242,206,33,55
001/01/08_0/001_01_01_080_06.png,1,0,right,365,168,38,63
001/01/09_0/001_01_01_090_06.png,1,0,right,247,203,35,58
001/01/11_0/001_01_01_110_06.png,1,0,right,267,200,36,61
001/01/12_0/001_01_01_120_06.png,1,0,right,314,198,36,61
001/01/13_0/001_01_01_130_06.png,1,0,right,414,198,36,60
001/01/19_0/001_01_01_190_06.png,1,0,left,275,174,37,62
001/01/20_0/001_01_01_200_06.png,1,0,left,272,201,34,57
001/01/24_0/001_01_01_240_06.png,1,0,left,302,236,38,63
001/01/01_0/001_01_01_010_07.png,1,0,left,313,207,36,60
001/01/04_1/001_01_01_041_07.png,1,0,left,252,228,32,54
001/01/05_0/001_01_01_050_07.png,1,0,left,244,208,32,53
001/01/08_0/001_01_01_080_07.png,1,0,right,368,166,38,63
001/01/09_0/001_01_01_090_07.png,1,0,right,249,203,34,57
001/01/11_0/001_01_01_110_07.png,1,0,right,267,201,35,59
001/01/12_0/001_01_01_120_07.png,1,0,right,316,199,34,57
001/01/13_0/001_01_01_130_07.png,1,0,right,414,200,35,58
001/01/14_0/001_01_01_140_07.png,1,0,right,399,174,36,60
001/01/19_0/001_01_01_190_07.png,1,0,left,276,175,37,61
001/01/20_0/001_01_01_200_07.png,1,0,left,274,202,33,54
001/01/24_0/001_01_01_240_07.png,1,0,left,301,233,39,65
001/01/01_0/001_01_01_010_08.png,1,0,left,314,207,37,61
001/01/04_1/001_01_01_041_08.png,1,0,left,249,223,35,58
001/01/08_0/001_01_01_080_08.png,1,0,right,367,166,39,65
001/01/09_0/001_01_01_090_08.png,1,0,right,251,204,33,55
001/01/11_0/001_01_01_110_08.png,1,0,right,269,204,33,56
001/01/12_0/001_01_01_120_08.png,1,0,right,317,201,34,57
001/01/13_0/001_01_01_130_08.png,1,0,right,414,199,36,60
001/01/14_0/001_01_01_140_08.png,1,0,right,397,175,37,62
001/01/19_0/001_01_01_190_08.png,1,0,left,276,174,36,60
001/01/20_0/001_01_01_200_08.png,1,0,left,273,201,33,55
001/01/24_0/001_01_01_240_08.png,1,0,left,301,233,39,65
001/01/01_0/001_01_01_010_09.png,1,0,left,314,206,37,62
001/01/04_1/001_01_01_041_09.png,1,0,left,249,221,36,61
001/01/05_0/001_01_01_050_09.png,1,0,left,240,197,38,64
001/01/08_0/001_01_01_080_09.png,1,0,right,367,166,40,66
001/01/09_0/001_01_01_090_09.png,1,0,right,249,204,35,59
001/01/11_0/001_01_01_110_09.png,1,0,right,268,202,35,59
001/01/12_0/001_01_01_120_09.png,1,0,right,317,200,35,59
001/01/13_0/001_01_01_130_09.png,1,0,right,415,198,36,60
001/01/14_0/001_01_01_140_09.png,1,0,right,398,177,35,59
001/01/19_0/001_01_01_190_09.png,1,0,left,276,172,38,64
001/01/20_0/001_01_01_200_09.png,1,0,left,274,199,34,57
001/01/24_0/001_01_01_240_09.png,1,0,left,302,233,39,66
001/01/01_0/001_01_01_010_10.png,1,0,left,314,206,37,62
001/01/04_1/001_01_01_041_10.png,1,0,left,250,226,32,54
001/01/05_0/001_01_01_050_10.png,1,0,left,241,201,34,57
001/01/08_0/001_01_01_080_10.png,1,0,right,367,165,40,67
001/01/09_0/001_01_01_090_10.png,1,0,right,249,203,36,60
001/01/11_0/001_01_01_110_10.png,1,0,right,268,202,36,60
001/01/12_0/001_01_01_120_10.png,1,0,right,316,200,35,58
001/01/13_0/001_01_01_130_10.png,1,0,right,415,198,36,60
001/01/14_0/001_01_01_140_10.png,1,0,right,398,175,36,61
001/01/19_0/001_01_01_190_10.png,1,0,left,275,175,35,58
